cluster_id,Facility,latitude,longitude,count,Act_dt,awb_booking,Route_ID,Loop_Name
1,BCNXSB,41.46286,2.16916,1,20210503,9097384074,312X,312
1,BCNXSB,41.46569,2.17181,1,20210503,6172919535,312X,312
1,BCNXSB,41.46820,2.16895,1,20210525,1012234403,312X,312
1,BCNXSB,41.46855,2.18035,1,20210518,8265524772,312X,312
1,BCNXSB,41.47275,2.18139,1,20210531,5792839695,312X,312
1,BCNXSB,41.47326,2.18500,1,20210524,8279950136,312X,312
1,BCNXSB,41.47587,2.16948,1,20210527,7217654776,312X,312
1,BCNXSB,41.48091,2.16638,1,20210507,1382805922,312X,312
1,BCNXSB,41.48171,2.16547,1,20210526,4964367472,312X,312
1,BCNXSB,41.48633,2.16146,1,20210510,1439660390,312X,312
1,BCNXSB,41.48658,2.15117,1,20210520,6162960705,312X,312
1,BCNXSB,41.48908,2.15079,1,20210527,6835826771,312X,312
1,BCNXSB,41.48936,2.14785,1,20210511,2744681730,312X,312
1,BCNXSB,41.48937,2.14502,1,20210512,4909389004,312X,312
1,BCNXSB,41.49275,2.14974,1,20210510,1422627463,312X,312
1,BCNXSB,41.49282,2.14524,1,20210506,3653991681,312X,312
1,BCNXSB,41.49293,2.16244,1,20210517,7213032761,312X,312
1,BCNXSB,41.49307,2.16219,1,20210518,1726457305,312X,312
1,BCNXSB,41.49312,2.16282,1,20210503,5737647241,312X,312
1,BCNXSB,41.49320,2.14738,1,20210512,9417130424,312X,312
1,BCNXSB,41.49492,2.15896,1,20210514,2617158272,312X,312
1,BCNXSB,41.49499,2.15607,1,20210518,2351816423,312X,312
1,BCNXSB,41.49543,2.14014,1,20210514,8173304123,312X,312
1,BCNXSB,41.49582,2.14471,1,20210505,7300139324,312X,312
1,BCNXSB,41.49618,2.16108,1,20210510,6057093523,312X,312
1,BCNXSB,41.49660,2.16052,1,20210521,1309125635,312X,312
1,BCNXSB,41.49667,2.15439,1,20210506,3814999650,312X,312
1,BCNXSB,41.49681,2.16350,1,20210510,5157906401,312X,312
1,BCNXSB,41.49703,2.14394,1,20210519,2422977793,312X,312
1,BCNXSB,41.49791,2.15898,1,20210512,8557124026,312X,312
1,BCNXSB,41.49917,2.14070,1,20210520,6195007792,312X,312
1,BCNXSB,41.49922,2.15756,1,20210511,3991091311,312X,312
1,BCNXSB,41.49976,2.13980,1,20210517,8546665551,312X,312
1,BCNXSB,41.50102,2.13512,1,20210520,1708697373,312X,312
1,BCNXSB,41.50168,2.15952,1,20210526,3991604385,312X,312
1,BCNXSB,41.50197,2.15919,1,20210510,2964630922,312X,312
1,BCNXSB,41.50310,2.16220,1,20210504,4299801940,312X,312
1,BCNXSB,41.50340,2.13598,1,20210528,9170330061,312X,312
1,BCNXSB,41.50378,2.13548,1,20210505,9170271751,312X,312
1,BCNXSB,41.50391,2.15649,1,20210531,8488136812,312X,312
1,BCNXSB,41.50475,2.14472,1,20210507,5997315170,312X,312
1,BCNXSB,41.50484,2.14452,1,20210506,1628438722,312X,312
2,BCNXSB,41.55506,2.10036,1,20210527,7057490742,358X,358
2,BCNXSB,41.55514,2.08847,1,20210506,3079870345,358X,358
2,BCNXSB,41.55544,2.09740,1,20210506,7499264846,358X,358
2,BCNXSB,41.55569,2.09702,1,20210531,4489317070,358X,358
2,BCNXSB,41.55619,2.08713,1,20210528,8708699683,358X,358
2,BCNXSB,41.55724,2.10213,1,20210527,7712703143,358X,358
2,BCNXSB,41.55742,2.08601,1,20210511,3381217641,358X,358
2,BCNXSB,41.55760,2.09389,1,20210514,3991235146,358X,358
2,BCNXSB,41.55810,2.10272,1,20210531,2423502756,358X,358
2,BCNXSB,41.55816,2.10359,1,20210527,2975945523,358X,358
2,BCNXSB,41.55843,2.10145,1,20210512,7950472364,358X,358
2,BCNXSB,41.55942,2.09599,1,20210504,2802775382,358X,358
2,BCNXSB,41.55961,2.09543,1,20210504,9480311083,358X,358
2,BCNXSB,41.55965,2.09827,1,20210524,2218153243,358X,358
2,BCNXSB,41.56091,2.07633,1,20210528,2132179280,358X,358
2,BCNXSB,41.56092,2.08009,1,20210507,7056378081,358X,358
2,BCNXSB,41.56134,2.08609,1,20210513,2411838704,358X,358
2,BCNXSB,41.56269,2.07642,1,20210528,7111881781,358X,358
2,BCNXSB,41.56275,2.07903,1,20210512,6607222005,358X,358
2,BCNXSB,41.56486,2.08982,1,20210512,9097525452,358X,358
1,BCNXSB,41.46418,2.16996,1,20210521,1634746260,312X,312
1,BCNXSB,41.46671,2.16616,1,20210525,2474557466,312X,312
1,BCNXSB,41.46678,2.16622,1,20210510,4266337983,312X,312
1,BCNXSB,41.46996,2.18239,1,20210507,2422486835,312X,312
1,BCNXSB,41.47259,2.17916,1,20210510,5792519364,312X,312
1,BCNXSB,41.47291,2.18125,1,20210526,4013228936,312X,312
1,BCNXSB,41.48626,2.16156,1,20210503,2865324313,312X,312
1,BCNXSB,41.48970,2.15078,1,20210517,4124401853,312X,312
1,BCNXSB,41.49262,2.14590,1,20210518,8702319942,312X,312
1,BCNXSB,41.49262,2.15968,1,20210505,8689591411,312X,312
1,BCNXSB,41.49266,2.15975,1,20210512,1104739123,312X,312
1,BCNXSB,41.49269,2.14604,1,20210504,3990884494,312X,312
1,BCNXSB,41.49269,2.16272,1,20210531,7213038700,312X,312
1,BCNXSB,41.49303,2.16225,1,20210517,6277026140,312X,312
1,BCNXSB,41.49423,2.14965,1,20210518,8702256673,312X,312
1,BCNXSB,41.49427,2.16475,1,20210521,9924568695,312X,312
1,BCNXSB,41.49449,2.15946,1,20210520,1703311960,312X,312
1,BCNXSB,41.49467,2.16230,1,20210517,2557169311,312X,312
1,BCNXSB,41.49479,2.15697,1,20210514,9872713395,312X,312
1,BCNXSB,41.49539,2.16210,1,20210513,5841228072,312X,312
1,BCNXSB,41.49742,2.16156,1,20210524,5683491973,312X,312
1,BCNXSB,41.49760,2.14028,1,20210512,9829081522,312X,312
1,BCNXSB,41.49786,2.15881,1,20210512,3649842906,312X,312
1,BCNXSB,41.49856,2.14055,1,20210524,3370194111,312X,312
1,BCNXSB,41.49933,2.13999,1,20210520,2448019895,312X,312
1,BCNXSB,41.49935,2.16071,1,20210528,6734008363,312X,312
1,BCNXSB,41.49935,2.16263,1,20210517,1751962822,312X,312
1,BCNXSB,41.49971,2.14026,1,20210511,2448016546,312X,312
1,BCNXSB,41.50095,2.15568,1,20210514,5066544324,312X,312
1,BCNXSB,41.50109,2.13544,1,20210527,7526033480,312X,312
1,BCNXSB,41.50112,2.13859,1,20210505,3113354720,312X,312
